image_id,class,bounds
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1205, 1493, 1231, 1516)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1479, 1756, 1507, 1776)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1478, 1786, 1518, 1815)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2132, 2163, 2148, 2178)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2010, 2127, 2024, 2141)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1991, 2130, 2009, 2150)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1971, 2139, 1992, 2158)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2099, 2004, 2108, 2013)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2108, 2005, 2115, 2012)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2103, 1645, 2113, 1656)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1976, 1123, 1997, 1145)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1990, 1138, 2014, 1159)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2007, 1152, 2030, 1173)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2025, 1167, 2048, 1187)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2012, 1092, 2037, 1113)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2028, 1106, 2053, 1127)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2045, 1120, 2070, 1141)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2063, 1134, 2088, 1155)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2027, 1074, 2053, 1096)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2043, 1088, 2069, 1109)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2059, 1102, 2086, 1125)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(2076, 1117, 2103, 1138)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1927, 1361, 1932, 1366)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1932, 1365, 1937, 1370)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1935, 1369, 1941, 1374)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1938, 1372, 1944, 1377)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1942, 1375, 1948, 1380)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1931, 1356, 1937, 1362)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1934, 1360, 1940, 1365)"
0918a15c-8cfb-4da7-92cf-1f5098a76760,oil-storage-tank,"(1938, 1363, 1944, 1369)"
